accuracy,kappa,f1-score,best_epoch,test_dataset,accuracy_TMA20,kappa_TMA20,f1-score_TMA20,mode,
0.56496062992126,0.76274985989165,0.575225032079906,102,TMA_14,0.251282051282051,-0.14437527261192,0.176724664224664,central,
0.561023622047244,0.750458475242337,0.567542675172044,136,TMA_14,0.241025641025641,-0.1804,0.178050586976832,central,
0.559055118110236,0.73938777240736,0.562775408549906,131,TMA_14,0.21025641025641,-0.196980275789841,0.176562306872084,central,
0.566390041493776,0.770580185721674,0.57401020842716,142,TMA_15,0.22051282051282,-0.182314331156197,0.187062011141517,central,
0.562240663900415,0.777973846922453,0.571917121467877,100,TMA_15,0.205128205128205,-0.17168883080944,0.182368807485403,central,
0.564315352697095,0.763324102301552,0.567655580959126,98,TMA_15,0.266666666666667,-0.154641280212348,0.229625355339641,central,
0.576208178438662,0.734013777774146,0.564176453942271,124,TMA_16,0.138461538461538,-0.260746885325894,0.131547020231231,central,
0.598513011152416,0.761200595019114,0.590200376111976,117,TMA_16,0.0871794871794872,-0.124435790777945,0.0663566054213194,central,
0.594795539033457,0.746719175486507,0.593842683817537,104,TMA_16,0.107692307692308,-0.215538847117794,0.110803344145249,central,
0.560483870967742,0.799244217058457,0.572454378038094,110,TMA_17,0.261538461538462,-0.121855180498362,0.229114199049285,central,
0.550403225806452,0.778946340192759,0.560609585482132,128,TMA_17,0.133333333333333,-0.363777233706263,0.144428083675295,central,
0.520161290322581,0.756735547998954,0.522970114025242,80,TMA_17,0.102564102564103,-0.287648403003282,0.0969027383693685,central,
0.592342342342342,0.762684986035761,0.591276346605274,109,TMA_18,0.184615384615385,-0.111905974972257,0.183340625445889,central,
0.585585585585586,0.774348484896018,0.592139901556617,96,TMA_18,0.148717948717949,-0.0496992208001936,0.141185560903871,central,
0.576576576576577,0.785436632224977,0.588172324493824,98,TMA_18,0.164102564102564,-0.0850714340285734,0.14028723084702,central,
0.545073375262054,0.738788748433018,0.561914802580481,101,TMA_19,0.0717948717948718,-0.0548882499674417,0.0323165036567098,central,
0.542976939203354,0.735693989659234,0.558784953589442,127,TMA_19,0.0974358974358974,-0.121467526028756,0.0502061778377568,central,
0.572327044025157,0.703294176851737,0.573398176693304,56,TMA_19,0.0717948717948718,-0.0512104676903122,0.0432018230767449,central,
0.586614173228346,0.728776103326926,0.579540944673012,96,TMA_14,0.2,-0.257110352673492,0.155072236603573,federated,
0.576771653543307,0.741910628269656,0.576554144507204,100,TMA_14,0.251282051282051,-0.09764916061706,0.205028698484518,federated,
0.562992125984252,0.718753309775754,0.560383380886482,85,TMA_14,0.18974358974359,-0.211895461684049,0.160655237937981,federated,
0.549792531120332,0.742731625800924,0.559614100966152,138,TMA_15,0.158974358974359,-0.327247588222355,0.15060312546543,federated,
0.54356846473029,0.755771623533866,0.553463324318623,110,TMA_15,0.2,-0.27024597291203,0.140758500758501,federated,
0.580912863070539,0.776394363300193,0.592732842357873,94,TMA_15,0.266666666666667,-0.0599495824799119,0.193713885549726,federated,
0.587360594795539,0.744367801025675,0.56932986001097,76,TMA_16,0.128205128205128,-0.281748730050798,0.1145261500874,federated,
0.572490706319703,0.752686947253659,0.559687204364846,84,TMA_16,0.117948717948718,-0.0646339012571737,0.0575023610193923,federated,
0.568773234200744,0.735404100346302,0.55157732714167,109,TMA_16,0.0717948717948718,-0.124694301597906,0.049176076126204,federated,
0.540322580645161,0.761275530741901,0.545612853651926,57,TMA_17,0.169230769230769,-0.187180700866698,0.118974626905661,federated,
0.570564516129032,0.756553449518721,0.565384034225725,68,TMA_17,0.148717948717949,-0.120720180862365,0.13349416133576,federated,
0.55241935483871,0.748175510571006,0.552056960174052,115,TMA_17,0.133333333333333,-0.295687168950632,0.150193231262665,federated,
0.601351351351351,0.772105795083999,0.597628680724366,116,TMA_18,0.230769230769231,-0.146072247706422,0.174345882895789,federated,
0.567567567567568,0.76400900804026,0.574136633178623,117,TMA_18,0.266666666666667,-0.0576896331117354,0.185375181382441,federated,
0.61036036036036,0.768805517885762,0.6081020813831,124,TMA_18,0.0871794871794872,-0.241685329411372,0.0720823000665237,federated,
0.580712788259958,0.715692309951791,0.580502075995649,131,TMA_19,0.128205128205128,-0.290642060002898,0.0966011019792532,federated,
0.547169811320755,0.71322154687626,0.558185939077867,132,TMA_19,0.164102564102564,-0.275766266355978,0.140697481766184,federated,
0.545073375262054,0.734796415180127,0.559987425786212,122,TMA_19,0.230769230769231,-0.339139245392261,0.187732270327244,federated,
0.408713692946058,0.60923234283921,0.369967656911489,116,TMA_15,0.0717948717948718,-0.121268464001653,0.0509498923137591,TMA_14,
0.41635687732342,0.565428109854604,0.386149905128835,116,TMA_16,,,,TMA_14,
0.483870967741936,0.682157245219028,0.46414483768909,116,TMA_17,,,,TMA_14,
0.400900900900901,0.539847222951041,0.35590982609839,116,TMA_18,,,,TMA_14,
0.385744234800839,0.606164854823173,0.356645736872109,116,TMA_19,,,,TMA_14,
0.421161825726141,0.60536192388602,0.379884793738235,126,TMA_15,0.21025641025641,-0.0578335967174028,0.130930824602854,TMA_14,
0.37546468401487,0.535900163901429,0.355552766341438,126,TMA_16,,,,TMA_14,
0.475806451612903,0.67174015692657,0.453136608728952,126,TMA_17,,,,TMA_14,
0.378378378378378,0.528016431345601,0.319451670590307,126,TMA_18,,,,TMA_14,
0.368972746331237,0.535127614190796,0.327576111630542,126,TMA_19,,,,TMA_14,
0.41701244813278,0.608616056928574,0.384605144724901,136,TMA_15,0.128205128205128,-0.215796781834518,0.109933872372768,TMA_14,
0.442379182156134,0.570688984040483,0.403108739957663,136,TMA_16,,,,TMA_14,
0.493951612903226,0.662558419277869,0.473789359265916,136,TMA_17,,,,TMA_14,
0.43018018018018,0.569608881927489,0.391848786150749,136,TMA_18,,,,TMA_14,
0.440251572327044,0.59635627052878,0.414114977303375,136,TMA_19,,,,TMA_14,
0.53740157480315,0.712115701738216,0.532625773319768,138,TMA_14,0.246153846153846,0.0204669664181958,0.17867302390546,TMA_15,
0.505576208178439,0.585622593068036,0.478412253520995,138,TMA_16,,,,TMA_15,
0.512096774193548,0.707877552145042,0.512413833012301,138,TMA_17,,,,TMA_15,
0.515765765765766,0.623858311492336,0.501651701558538,138,TMA_18,,,,TMA_15,
0.49685534591195,0.568070754632956,0.474615688448737,138,TMA_19,,,,TMA_15,
0.519685039370079,0.701966456259998,0.519160736364768,144,TMA_14,0.205128205128205,-0.108681390771922,0.152203566139815,TMA_15,
0.539033457249071,0.56766391819229,0.504191615842768,144,TMA_16,,,,TMA_15,
0.512096774193548,0.739282980900703,0.515979579546393,144,TMA_17,,,,TMA_15,
0.527027027027027,0.644769739644488,0.510708672970501,144,TMA_18,,,,TMA_15,
0.505241090146751,0.57577608482128,0.480533140000571,144,TMA_19,,,,TMA_15,
0.523622047244094,0.716276398467806,0.525023571082741,145,TMA_14,0.194871794871795,-0.188764933718837,0.179200579086553,TMA_15,
0.531598513011152,0.58842678497519,0.505818470224327,145,TMA_16,,,,TMA_15,
0.506048387096774,0.735912963153033,0.51310163187102,145,TMA_17,,,,TMA_15,
0.518018018018018,0.619679444431669,0.498430751129802,145,TMA_18,,,,TMA_15,
0.49685534591195,0.564631651517082,0.465559355117834,145,TMA_19,,,,TMA_15,
0.372047244094488,0.556478097969379,0.342836885063424,148,TMA_14,0.261538461538462,0.00879617016307943,0.1847739888977,TMA_16,TMA_17
0.365145228215768,0.573903586077613,0.347306569744044,148,TMA_15,,,,TMA_16,
0.314516129032258,0.503354559320768,0.267632955927387,148,TMA_17,,,,TMA_16,
0.40990990990991,0.601397231653173,0.381734192838434,148,TMA_18,,,,TMA_16,
0.327044025157233,0.538371692047565,0.310878016241229,148,TMA_19,,,,TMA_16,
0.271653543307087,0.286164898458289,0.154374230006963,21,TMA_14,0.271794871794872,0,0.116170388751034,TMA_16,
0.269709543568465,0.246854309184318,0.14077470087194,21,TMA_15,,,,TMA_16,
0.266129032258064,0.27123328051881,0.134225018113908,21,TMA_17,,,,TMA_16,
0.245495495495495,0.262485595900655,0.119109494109494,21,TMA_18,,,,TMA_16,
0.247379454926625,0.277915034859419,0.143401316682503,21,TMA_19,,,,TMA_16,
0.316929133858268,0.184789319052401,0.168515479209888,3,TMA_14,0.225641025641026,0.0862434452750196,0.121664179163409,TMA_16,
0.294605809128631,0.075461729302582,0.138815476211787,3,TMA_15,,,,TMA_16,
0.282258064516129,0.142947418310119,0.134785348670342,3,TMA_17,,,,TMA_16,
0.274774774774775,0.0658939345824072,0.124902442549501,3,TMA_18,,,,TMA_16,
0.324947589098532,0.10933531659691,0.165389311254065,3,TMA_19,,,,TMA_16,
0.553149606299213,0.693729903536978,0.541249133731341,123,TMA_14,0.2,0.0221035912820965,0.165657175284432,TMA_17,
0.433609958506224,0.667168863779033,0.443073711526021,123,TMA_15,,,,TMA_17,
0.405204460966543,0.599609698012106,0.404622646646491,123,TMA_16,,,,TMA_17,
0.378378378378378,0.49796656787545,0.3560674612887,123,TMA_18,,,,TMA_17,
0.39622641509434,0.58633184915612,0.389744843350147,123,TMA_19,,,,TMA_17,
0.53740157480315,0.667353630927605,0.519799656845436,118,TMA_14,0.246153846153846,-0.0840965479217079,0.156992214135071,TMA_17,
0.441908713692946,0.650423677308346,0.434108402258301,118,TMA_15,,,,TMA_17,
0.434944237918216,0.553611771997521,0.398075404741926,118,TMA_16,,,,TMA_17,
0.450450450450451,0.563030356049339,0.409065772552796,118,TMA_18,,,,TMA_17,
0.436058700209644,0.598615978039243,0.412586723397079,118,TMA_19,,,,TMA_17,
0.525590551181102,0.648314268666459,0.50705417905465,96,TMA_14,0.22051282051282,-0.0674483809404134,0.164366191719177,TMA_17,
0.454356846473029,0.659794148985078,0.449025615358585,96,TMA_15,,,,TMA_17,
0.412639405204461,0.562682527938943,0.395736690585599,96,TMA_16,,,,TMA_17,
0.432432432432432,0.593999916178661,0.41091812350075,96,TMA_18,,,,TMA_17,
0.440251572327044,0.604387000234894,0.432935550995062,96,TMA_19,,,,TMA_17,
0.476377952755905,0.589838410134359,0.457996818096259,104,TMA_14,0.246153846153846,-0.0110174983797795,0.180322923620899,TMA_18,
0.443983402489627,0.615921378096761,0.438914222347105,104,TMA_15,,,,TMA_18,
0.494423791821561,0.631011701472482,0.467951120453566,104,TMA_16,,,,TMA_18,
0.491935483870968,0.661654430528837,0.476073708982276,104,TMA_17,,,,TMA_18,
0.463312368972746,0.64176678994972,0.452401362774042,104,TMA_19,,,,TMA_18,
0.446850393700787,0.596861674739931,0.442555030821131,137,TMA_14,0.256410256410256,0.0356783638801967,0.170689954613709,TMA_18,
0.419087136929461,0.63764641449187,0.420189831069321,137,TMA_15,,,,TMA_18,
0.50185873605948,0.668436963450868,0.480805577932269,137,TMA_16,,,,TMA_18,
0.483870967741936,0.705786528790991,0.47783297792801,137,TMA_17,,,,TMA_18,
0.465408805031447,0.664387997409513,0.463093828789012,137,TMA_19,,,,TMA_18,
0.429133858267717,0.592182190750396,0.424382007088175,141,TMA_14,0.123076923076923,-0.188065010126957,0.100161074211901,TMA_18,
0.41701244813278,0.600621710027511,0.411028660198329,141,TMA_15,,,,TMA_18,
0.524163568773234,0.680320553928669,0.500914090297726,141,TMA_16,,,,TMA_18,
0.421370967741936,0.655467514886446,0.41852570975181,141,TMA_17,,,,TMA_18,
0.448637316561845,0.653178808676589,0.446089258244285,141,TMA_19,,,,TMA_18,
0.505905511811024,0.546293327032242,0.470207175042757,114,TMA_14,0.143589743589744,-0.132020485401432,0.0995278932778933,TMA_19,
0.491701244813278,0.575235167924038,0.471008329164318,114,TMA_15,,,,TMA_19,
0.524163568773234,0.664058945790925,0.51460140739552,114,TMA_16,,,,TMA_19,
0.449596774193548,0.559050524993269,0.414961781794073,114,TMA_17,,,,TMA_19,
0.515765765765766,0.672304228171128,0.506221933872762,114,TMA_18,,,,TMA_19,
0.444881889763779,0.461782840929071,0.407132936537204,129,TMA_14,0.230769230769231,-0.0974664624582511,0.123648536373881,TMA_19,
0.483402489626556,0.55765082742455,0.460506521280403,129,TMA_15,,,,TMA_19,
0.505576208178439,0.656069077910735,0.490122760198101,129,TMA_16,,,,TMA_19,
0.407258064516129,0.47926278183926,0.353865454392596,129,TMA_17,,,,TMA_19,
0.495495495495496,0.666487567957356,0.492174156118922,129,TMA_18,,,,TMA_19,
0.478346456692913,0.5320226495358,0.446422599700478,139,TMA_14,0.271794871794872,-0.0180030794741206,0.181540558351306,TMA_19,
0.495850622406639,0.554435851365779,0.47412835694363,139,TMA_15,,,,TMA_19,
0.531598513011152,0.660299546088769,0.523608570455988,139,TMA_16,,,,TMA_19,
0.445564516129032,0.49968877823226,0.412199399817989,139,TMA_17,,,,TMA_19,
0.497747747747748,0.668870721985719,0.491276841594638,139,TMA_18,,,,TMA_19,
