accuracy,kappa,f1-score,best_epoch,test_dataset,accuracy_TMA20,kappa_TMA20,f1-score_TMA20,mode
0.5863125638406538,0.7171898191778818,0.588155834140247,43,spl_1,0.5230769230769231,0.7706882040078079,0.5072211766840062,central
0.5720122574055159,0.7354860005684143,0.5809617793617625,60,spl_1,0.5282051282051282,0.7804251869200973,0.5284731954392885,central
0.5628192032686414,0.707489490374213,0.5730168226554655,144,spl_1,0.5333333333333333,0.7468354430379747,0.5326756501417135,central
0.44042056074766356,0.7364004952005818,0.46589208295604956,45,spl_2,0.49743589743589745,0.6681266424727819,0.46595145109492847,central
0.4883177570093458,0.7903633175152895,0.5287009153167304,35,spl_2,0.49230769230769234,0.7545922583105574,0.47167572483325737,central
0.4953271028037383,0.777243730206777,0.5285142218742263,38,spl_2,0.517948717948718,0.7668757780051025,0.4987490061502466,central
0.6230677764565993,0.8085941722474115,0.6457737094301228,55,spl_3,0.5128205128205128,0.7343506731385658,0.5155703774107953,central
0.5683709869203329,0.7632967140305854,0.5965164942173281,55,spl_3,0.5076923076923077,0.7222581898226078,0.5041110172204014,central
0.5909631391200951,0.8045430896284343,0.6219560899336135,77,spl_3,0.5538461538461539,0.7886969927163859,0.5586653796435717,central
0.5515832482124617,0.7228000289730829,0.5656575184039816,110,spl_1,0.5435897435897435,0.7685739837672747,0.5400278373997903,federated
0.5699693564862104,0.7142124065411155,0.5718062536485449,67,spl_1,0.5538461538461539,0.7703206099987038,0.5444135296445666,federated
0.5597548518896833,0.7177240827394251,0.5712211018777321,50,spl_1,0.5333333333333333,0.7762252682932456,0.5313920464825265,federated
0.508177570093458,0.8026375701431748,0.5488568709702615,51,spl_2,0.49230769230769234,0.7617344658024139,0.49108198179960966,federated
0.5011682242990654,0.786209272033584,0.5388165735840328,49,spl_2,0.5230769230769231,0.754056610638143,0.5163591714781883,federated
0.514018691588785,0.7951655840151297,0.5475256272069033,60,spl_2,0.558974358974359,0.778696867943513,0.5529717668567531,federated
0.5410225921521997,0.7694830793307236,0.5773425489186098,108,spl_3,0.5641025641025641,0.7660680114464282,0.5682140292699281,federated
0.5053507728894173,0.7609945860723104,0.5432246931108631,68,spl_3,0.5487179487179488,0.7376703199052133,0.54299225628173,federated
0.5517241379310345,0.7827189694698155,0.5857862213179397,97,spl_3,0.5282051282051282,0.7643551324456346,0.5296184334679044,federated
0.4007009345794392,0.7206415474862897,0.3973228389202915,96,spl_2,0.4717948717948718,0.6756905364767536,0.4270518050605097,local
0.4625445897740785,0.7091830710321677,0.4151172078571287,96,spl_3,,,,local
0.39135514018691586,0.6965252516789586,0.3703850357153222,45,spl_2,0.4717948717948718,0.6771745878457611,0.40807022833731393,local
0.4470868014268728,0.6663244052453339,0.39385043214597715,45,spl_3,,,,local
0.3855140186915888,0.7017373319385548,0.3664041879168423,58,spl_2,0.4564102564102564,0.7010235230741605,0.4046149849517971,local
0.4340071343638526,0.6779295478510674,0.3805866000773596,58,spl_3,,,,local
0.46578140960163433,0.6221584177318251,0.4344145098597087,74,spl_1,0.48717948717948717,0.7254024084516826,0.47186815267321874,local
0.3971462544589774,0.7068693740001214,0.42182887813860775,74,spl_3,,,,local
0.4576098059244127,0.6318984497914059,0.43552351011080115,133,spl_1,0.40512820512820513,0.715505488986152,0.38735154146404044,local
0.4328180737217598,0.7291906448179133,0.4613917619917993,133,spl_3,,,,local
0.4514811031664964,0.664606518362744,0.43691913386687486,51,spl_1,0.4461538461538462,0.7427749130591198,0.4352280668557264,local
0.4244946492271106,0.746141307628841,0.4569158424513983,51,spl_3,,,,local
0.5638406537282942,0.6521568935037108,0.551407237531616,56,spl_1,0.46153846153846156,0.7140557485385073,0.4354183329661365,local
0.4941588785046729,0.7407655640167465,0.5052309674129996,56,spl_2,,,,local
0.5403472931562819,0.6477931303210431,0.524851178488771,71,spl_1,0.517948717948718,0.7270066704252476,0.48256777028141973,local
0.46261682242990654,0.7346868540625517,0.472023478120257,71,spl_2,,,,local
0.5495403472931563,0.6467566649239278,0.5331339281300487,63,spl_1,0.5076923076923077,0.7190576228587386,0.4711302169875227,local
0.4661214953271028,0.7328243791849001,0.47989469049402966,63,spl_2,,,,local
