accuracy,kappa,f1-score,best_epoch,test_dataset,accuracy_TMA20,kappa_TMA20,f1-score_TMA20,mode
0.5770528683914511,0.7275240353254488,0.580080591876973,109,spl_1,0.2512820512820513,-0.1635126197435517,0.21683128066106794,central
0.5691788526434196,0.691026132746576,0.5637492357765201,135,spl_1,0.27692307692307694,-0.17469057630818519,0.21776626895080164,central
0.5725534308211474,0.7090290538880137,0.5741689745722119,135,spl_1,0.23076923076923078,-0.22018760882997235,0.23379363441249842,central
0.5894263217097863,0.7863952348114583,0.5898985023809943,91,spl_2,0.2,-0.25906611997930007,0.17197570334511647,central
0.5736782902137233,0.8109470019178849,0.5864127429268143,141,spl_2,0.09743589743589744,-0.2976839237057223,0.08587613103742137,central
0.5804274465691789,0.8079044608100514,0.5886240779272293,115,spl_2,0.20512820512820512,-0.27091225010152375,0.17377058592483294,central
0.5645879732739421,0.7622052334523675,0.5725622085224468,109,spl_3,0.12307692307692308,0.03843816955006241,0.11178308159831936,central
0.5590200445434298,0.7438857051682645,0.5654451773088803,110,spl_3,0.1282051282051282,-0.06571549483102568,0.11212569130216188,central
0.5634743875278396,0.7607923885741743,0.5699389572289796,91,spl_3,0.1794871794871795,0.0031864207132448197,0.1716962524654832,central
0.5804274465691789,0.7940281320215441,0.5888371826152057,105,spl_2,0.1282051282051282,-0.29609635952629976,0.10842715204417332,federated
0.5804274465691789,0.7981301733726158,0.5833315679992934,82,spl_2,0.22564102564102564,-0.19986947806765376,0.16826819511169644,federated
0.5759280089988752,0.787757884956209,0.5765736953655259,123,spl_2,0.13333333333333333,-0.3309292879051644,0.1252487398641245,federated
0.5545556805399325,0.7262656128232442,0.5545346844208641,99,spl_1,0.2717948717948718,-0.10546524488220199,0.20433174255635284,federated
0.5556805399325084,0.6980058211042219,0.5536484307117119,59,spl_1,0.2717948717948718,-0.20091564734408052,0.22677760862597612,federated
0.5601799775028121,0.7257847390372281,0.562707683670832,133,spl_1,0.26153846153846155,-0.09414696993413685,0.18171042428270742,federated
0.5623608017817372,0.7360841345988396,0.565271631623536,78,spl_3,0.14358974358974358,-0.000635756777621399,0.113980371430996,federated
0.5645879732739421,0.7309732784638009,0.5661407613964284,142,spl_3,0.22564102564102564,-0.023481532920979875,0.15398739862700847,federated
0.5701559020044543,0.7390582779631771,0.5757885474480879,133,spl_3,0.18461538461538463,0.01047774575026561,0.1766061186548334,federated
0.5545556805399325,0.7635185357496674,0.5576415855011072,132,spl_2,0.29743589743589743,-0.018048689108072224,0.20864238888190983,local
0.5412026726057907,0.7253639669688592,0.5466386906912515,132,spl_3,,,,local
0.5511811023622047,0.7742281330331386,0.5612713956561604,129,spl_2,0.24615384615384617,-0.026992634150419414,0.1454344340882294,local
0.5400890868596881,0.7286466379812992,0.5442568672733707,129,spl_3,,,,local
0.5534308211473565,0.7744650162449092,0.5559456095207929,111,spl_2,0.09743589743589744,-0.07278405517361031,0.0751807139022769,local
0.5423162583518931,0.7094696806297767,0.5394412623970286,111,spl_3,,,,local
0.5389755011135857,0.7375934864553594,0.5428055765652586,95,spl_3,0.2358974358974359,-0.06399961876623217,0.1984755186802208,local
0.5579302587176603,0.7152807967325951,0.560865960731688,95,spl_1,,,,local
0.5356347438752784,0.729968953328107,0.5367370336243305,145,spl_3,0.2358974358974359,-0.0731578657302796,0.18478466987557896,local
0.5725534308211474,0.7119230565436938,0.5751220666436928,145,spl_1,,,,local
0.5066815144766147,0.6974365213810403,0.4937417823204813,74,spl_3,0.24102564102564103,-0.0478347908544936,0.17007770007770007,local
0.5298087739032621,0.6823612378336581,0.5266787080758859,74,spl_1,,,,local
0.5376827896512936,0.6735827726866361,0.5240917696069471,81,spl_1,0.23076923076923078,-0.09170545358742421,0.17474261804557303,local
0.5174353205849269,0.7391059230570218,0.5106685044844815,81,spl_2,,,,local
0.5298087739032621,0.6874426640216444,0.5275684342862605,118,spl_1,0.17435897435897435,-0.15595690716450505,0.13860880807172365,local
0.562429696287964,0.7624885750972273,0.5651494589827232,118,spl_2,,,,local
0.5354330708661418,0.7158714472280615,0.5382120116877481,120,spl_1,0.2,-0.1357337050129046,0.15739842406509072,local
0.5253093363329584,0.7711780315466732,0.537016816376656,120,spl_2,,,,local
