accuracy,kappa,f1-score,best_epoch,test_dataset,accuracy_TMA20,kappa_TMA20,f1-score_TMA20,mode
0.6082677165354331,0.7621006857334003,0.6014364141150785,109,TMA_14,0.5538461538461539,0.7495317099277495,0.5441243632170282,central
0.6161417322834646,0.7888777874620012,0.6206649511527872,80,TMA_14,0.5333333333333333,0.7533934744119383,0.5341406301525508,central
0.6122047244094488,0.787790646273539,0.6196294039844246,74,TMA_14,0.5128205128205128,0.7430251286845455,0.5168750407522428,central
0.5975103734439834,0.8147268670163204,0.6029625759885356,47,TMA_15,0.49230769230769234,0.7426857411917898,0.4853248077098282,central
0.5975103734439834,0.8060782371874227,0.6047453297185288,56,TMA_15,0.5384615384615384,0.7453347650695069,0.5394701316812224,central
0.5975103734439834,0.793114304805264,0.6047739628720149,65,TMA_15,0.5487179487179488,0.7727272727272727,0.5434377476020618,central
0.5724907063197026,0.7679253087514034,0.5704033822283329,114,TMA_16,0.5230769230769231,0.7117833166139362,0.5244590756066165,central
0.620817843866171,0.7661265259074798,0.6123231414453004,57,TMA_16,0.5282051282051282,0.7282701364676,0.523622768428846,central
0.587360594795539,0.7631366538119736,0.5846859107081855,70,TMA_16,0.5794871794871795,0.7360775665931605,0.5775832982973835,central
0.594758064516129,0.764914753718094,0.5877366150324107,76,TMA_17,0.5435897435897435,0.7433682411571351,0.538657995869588,central
0.592741935483871,0.816011640046363,0.6024191336043042,55,TMA_17,0.48205128205128206,0.7654200726478925,0.4906126496279297,central
0.5786290322580645,0.7770100554929695,0.5856575944745841,133,TMA_17,0.5128205128205128,0.7610380248693458,0.5173187158255175,central
0.6509009009009009,0.7922671760143544,0.6363856729559897,42,TMA_18,0.5230769230769231,0.7437323089365144,0.512965393115769,central
0.6103603603603603,0.8215014906495619,0.6187246728461829,53,TMA_18,0.5897435897435898,0.7619287634408602,0.5894079108912869,central
0.6599099099099099,0.8061453990062705,0.654285589603961,42,TMA_18,0.5230769230769231,0.7266063585328253,0.5158658541399213,central
0.589098532494759,0.7862928030716303,0.5919047713093959,64,TMA_19,0.5230769230769231,0.7691034292480485,0.5198310866533107,central
0.6058700209643606,0.7623032313510625,0.6027863668552759,73,TMA_19,0.5641025641025641,0.7379675395239598,0.5547771980719052,central
0.5849056603773585,0.7715652586053676,0.59165503650756,36,TMA_19,0.558974358974359,0.7492600320248435,0.5517169431875313,central
0.5649606299212598,0.7761141267692766,0.5660641117311384,62,TMA_14,0.49230769230769234,0.6829733396897576,0.49154786706308196,federated
0.5807086614173228,0.7819057092451485,0.5856467476013295,46,TMA_14,0.5128205128205128,0.7282288885722958,0.5118870362083031,federated
0.5610236220472441,0.7800217647592274,0.5700727647609842,87,TMA_14,0.5333333333333333,0.7192300109332712,0.5331292012613851,federated
0.5975103734439834,0.8077900198491821,0.602859435932245,51,TMA_15,0.5538461538461539,0.7583670219625566,0.5515090243495804,federated
0.5912863070539419,0.7770186915887851,0.5953986491432512,68,TMA_15,0.5487179487179488,0.7322220097689861,0.5499040608927028,federated
0.578838174273859,0.7776394288478421,0.5892562868263226,101,TMA_15,0.5025641025641026,0.7357964249117613,0.5033031635370775,federated
0.6394052044609665,0.8027517696000943,0.6338431422508646,57,TMA_16,0.5384615384615384,0.7584919614714117,0.542800986435456,federated
0.6319702602230484,0.7588122951973142,0.6133695184613808,43,TMA_16,0.5076923076923077,0.7103223051524319,0.4955010658807577,federated
0.6096654275092936,0.7809531195470937,0.6027824692650645,47,TMA_16,0.5282051282051282,0.7639971144272675,0.5335180539413149,federated
0.5786290322580645,0.8202232037492835,0.5944258233631908,41,TMA_17,0.49743589743589745,0.7613742214754069,0.49819773330118156,federated
0.5725806451612904,0.796844798704048,0.5732965988608838,29,TMA_17,0.47692307692307695,0.6998026151890486,0.47002987228705706,federated
0.5564516129032258,0.80180051825006,0.5606882210636843,23,TMA_17,0.48205128205128206,0.7535315985130111,0.474088442709938,federated
0.5833333333333334,0.761047785362756,0.5866254714185511,148,TMA_18,0.5025641025641026,0.7293617469826601,0.5015008686862232,federated
0.6486486486486487,0.7614035553285146,0.6308071066685801,53,TMA_18,0.517948717948718,0.7383998022994458,0.5064342041907021,federated
0.5945945945945946,0.7670849473337407,0.5888421827142686,74,TMA_18,0.5282051282051282,0.7439257001265664,0.5245300796006829,federated
0.5849056603773585,0.7711299499249172,0.5846040789065889,70,TMA_19,0.5435897435897435,0.7727877637205671,0.5438754736237574,federated
0.5744234800838575,0.7677693751688821,0.5806727921716879,96,TMA_19,0.5333333333333333,0.7744185644974705,0.53784475558886,federated
0.6037735849056604,0.7715994927155185,0.6076088897709305,47,TMA_19,0.5487179487179488,0.7616210139630315,0.544833330543774,federated
0.43775933609958506,0.6510158409759095,0.4005579642268007,121,TMA_15,0.441025641025641,0.7065147280154807,0.41429883889025326,local
0.48698884758364314,0.6377605840649003,0.4511585775697043,121,TMA_16,,,,local
0.48588709677419356,0.7560091052895559,0.48284803567659396,121,TMA_17,,,,local
0.42567567567567566,0.6574375439831105,0.3920883430680531,121,TMA_18,,,,local
0.40670859538784065,0.6316687858150594,0.3824789988986321,121,TMA_19,,,,local
0.3983402489626556,0.6732584694200732,0.3573741045220941,100,TMA_15,0.4564102564102564,0.6642743056275799,0.4210992527271446,local
0.5650557620817844,0.7222245375193908,0.5281843980688055,100,TMA_16,,,,local
0.4657258064516129,0.7379339830730811,0.4583547487275058,100,TMA_17,,,,local
0.4617117117117117,0.6926327479096734,0.4401015449276386,100,TMA_18,,,,local
0.4192872117400419,0.6539722005700987,0.3977763216693012,100,TMA_19,,,,local
0.4024896265560166,0.6586053304125594,0.3511338091923976,88,TMA_15,0.4564102564102564,0.6938338566942621,0.416610622614375,local
0.45724907063197023,0.6302727607100682,0.4196018322219891,88,TMA_16,,,,local
0.4657258064516129,0.739538093111986,0.4433724577254331,88,TMA_17,,,,local
0.36936936936936937,0.6005530512519414,0.32306408142801457,88,TMA_18,,,,local
0.38155136268343814,0.6226209490827126,0.3508549683732871,88,TMA_19,,,,local
0.5059055118110236,0.6754743652476485,0.4850420615904256,72,TMA_14,0.41025641025641024,0.6919171704830318,0.38314124899490754,local
0.5055762081784386,0.6513219343893559,0.48343372747761965,72,TMA_16,,,,local
0.4092741935483871,0.6926508861073244,0.37253638799328526,72,TMA_17,,,,local
0.545045045045045,0.7177778181355902,0.5339164747766898,72,TMA_18,,,,local
0.5345911949685535,0.6869921442550827,0.5145556214975434,72,TMA_19,,,,local
0.5,0.6796155149507022,0.4838839807031698,86,TMA_14,0.4205128205128205,0.6417366234206732,0.3929763546895368,local
0.550185873605948,0.668799528425216,0.5226130095040288,86,TMA_16,,,,local
0.5040322580645161,0.7373757182358363,0.4947497870459291,86,TMA_17,,,,local
0.545045045045045,0.7002515326066836,0.5350664149997112,86,TMA_18,,,,local
0.5031446540880503,0.6439305921855212,0.48464067049804677,86,TMA_19,,,,local
0.5098425196850394,0.6671444923458745,0.4917451872911128,108,TMA_14,0.4153846153846154,0.6671446128635805,0.38944345617619947,local
0.5576208178438662,0.6744172026655413,0.527783946069434,108,TMA_16,,,,local
0.5060483870967742,0.7108527987001916,0.49115441796653714,108,TMA_17,,,,local
0.5675675675675675,0.6882310695213782,0.5532474755218537,108,TMA_18,,,,local
0.5094339622641509,0.6329646073616013,0.4912906418454588,108,TMA_19,,,,local
0.27165354330708663,0.5586915246951173,0.24491545427106287,90,TMA_14,0.30256410256410254,0.5785901689108611,0.26566166551977516,local
0.34647302904564314,0.5789922849140572,0.30291351571148095,90,TMA_15,,,,local
0.2721774193548387,0.5914035104212694,0.23248647759016422,90,TMA_17,,,,local
0.4009009009009009,0.6162946377918808,0.32995092832228773,90,TMA_18,,,,local
0.38155136268343814,0.5838583695075319,0.3377062342060768,90,TMA_19,,,,local
0.38779527559055116,0.6007544797233575,0.3502362213140336,149,TMA_14,0.36923076923076925,0.5400081234768481,0.30328168563462676,local
0.35892116182572614,0.5724201689220523,0.31553354892153457,149,TMA_15,,,,local
0.33064516129032256,0.5634386559115825,0.27061517174343547,149,TMA_17,,,,local
0.42342342342342343,0.6203004281766875,0.3718790716758527,149,TMA_18,,,,local
0.36477987421383645,0.5880567810198479,0.3367007872961012,149,TMA_19,,,,local
0.3484251968503937,0.6421534604746564,0.3316518413335901,125,TMA_14,0.3487179487179487,0.6039899653565882,0.3075817507309044,local
0.36099585062240663,0.6149503058973367,0.3313994135582437,125,TMA_15,,,,local
0.3125,0.6608205000906999,0.2851151882532256,125,TMA_17,,,,local
0.42342342342342343,0.6625702835723102,0.36555629455992944,125,TMA_18,,,,local
0.4171907756813417,0.5972429798935301,0.3753479833023711,125,TMA_19,,,,local
0.5196850393700787,0.7017964677900916,0.5206532421009346,115,TMA_14,0.4461538461538462,0.6630625441788622,0.4282594394069804,local
0.5020746887966805,0.6734632968762793,0.4971974967272593,115,TMA_15,,,,local
0.48698884758364314,0.6764430438738599,0.472012742316446,115,TMA_16,,,,local
0.5225225225225225,0.6925384731605189,0.5171489953761234,115,TMA_18,,,,local
0.4968553459119497,0.6417762040016615,0.49385785634570945,115,TMA_19,,,,local
0.5039370078740157,0.727727924566309,0.5128335842480822,140,TMA_14,0.441025641025641,0.6981995807511215,0.4342027818525765,local
0.46887966804979253,0.709443296988328,0.4793635733635127,140,TMA_15,,,,local
0.44981412639405205,0.6956371220373044,0.4409099646290531,140,TMA_16,,,,local
0.5315315315315315,0.7114671040882603,0.5316152645316389,140,TMA_18,,,,local
0.5073375262054507,0.6699710631704623,0.5114894760924749,140,TMA_19,,,,local
