accuracy,kappa,f1-score,best_epoch,test_dataset,accuracy_TMA20,kappa_TMA20,f1-score_TMA20,mode
0.6299212598425197,0.7732282777056376,0.6227163061023199,54,spl_1,0.5333333333333333,0.7529911675629614,0.5238656843407975,central
0.609673790776153,0.7829455363017559,0.6082982724875708,45,spl_1,0.5282051282051282,0.769128137940153,0.5226301227705423,central
0.6152980877390326,0.7745882867314859,0.6079045925879449,56,spl_1,0.5128205128205128,0.726988799540494,0.4967405064126333,central
0.592800899887514,0.8265495805518053,0.5998606937064221,75,spl_2,0.5128205128205128,0.7681909268966454,0.5193970201414335,central
0.5973003374578177,0.8098402293150784,0.5956789847431349,60,spl_2,0.5384615384615384,0.7420870199762839,0.5343057058832432,central
0.6006749156355455,0.8199180158987276,0.608438211379929,48,spl_2,0.5128205128205128,0.7490015397940526,0.5159758113826173,central
0.589086859688196,0.7946410863537935,0.593739240506887,50,spl_3,0.49230769230769234,0.7475183426845058,0.4870476505320007,central
0.6057906458797327,0.7952764143632136,0.6097174668916477,65,spl_3,0.48205128205128206,0.7713493417506265,0.48670957183537017,central
0.589086859688196,0.7867425610351844,0.5956127401930241,86,spl_3,0.5487179487179488,0.7449058285205052,0.5503085743628447,central
0.5916760404949382,0.8117226467705518,0.5972841693074836,50,spl_2,0.49743589743589745,0.7501097164925832,0.49401516030475306,federated
0.5883014623172104,0.814609659827882,0.595230763016976,65,spl_2,0.5282051282051282,0.7709690898618813,0.5327370392659442,federated
0.5883014623172104,0.8080744635976072,0.5965391102245823,54,spl_2,0.5076923076923077,0.7545091948748721,0.5097095862231297,federated
0.6231721034870641,0.7837663870156539,0.624527155901955,74,spl_1,0.5333333333333333,0.7362806477562869,0.5298789866958264,federated
0.6152980877390326,0.7748148306095747,0.6158149979033015,57,spl_1,0.5282051282051282,0.7489539748953975,0.519692412276927,federated
0.6242969628796401,0.7543930238206931,0.6148195534605541,80,spl_1,0.5538461538461539,0.7175484947507474,0.539369439415792,federated
0.6024498886414253,0.7941699672587736,0.6098261667767665,74,spl_3,0.517948717948718,0.7613698840694518,0.5218463493795443,federated
0.5734966592427617,0.7766156771334256,0.5823536944268243,57,spl_3,0.5128205128205128,0.7452038735361282,0.5137287548454597,federated
0.5857461024498887,0.7992494122275922,0.5920408074832658,53,spl_3,0.5076923076923077,0.7316465801247491,0.5086048083271054,federated
0.5500562429696289,0.7909820513689755,0.5570539286308536,83,spl_2,0.517948717948718,0.6736774046324117,0.5032884284195949,local
0.5545657015590201,0.7390054754918279,0.5586191423252947,83,spl_3,,,,local
0.5534308211473565,0.7807916013640455,0.5548341820139233,68,spl_2,0.5076923076923077,0.7107705179888948,0.49522412052094833,local
0.5512249443207127,0.7537272167835495,0.5457919578793711,68,spl_3,,,,local
0.5196850393700787,0.7730363504719726,0.5255227580287789,76,spl_2,0.48205128205128206,0.7248115732918193,0.4811746548087811,local
0.5200445434298441,0.7352026412389365,0.5224724440314967,76,spl_3,,,,local
0.5478841870824054,0.7511894481730322,0.5506205410945945,101,spl_3,0.4666666666666667,0.7414250353606789,0.4496781020641954,local
0.5568053993250843,0.7532666716453013,0.5597593513966526,101,spl_1,,,,local
0.5066815144766147,0.737633608618272,0.4961838968494965,45,spl_3,0.46153846153846156,0.70752872485738,0.4250036333437143,local
0.5174353205849269,0.7268007977834452,0.5069090398255821,45,spl_1,,,,local
0.5389755011135857,0.7579574938058062,0.5413661588276554,86,spl_3,0.4666666666666667,0.7293769525637812,0.4642091212957355,local
0.5601799775028121,0.7568423623714061,0.5625765243605482,86,spl_1,,,,local
0.5635545556805399,0.7285159452146579,0.5528298620820346,47,spl_1,0.4666666666666667,0.7213475473272886,0.45249832025738185,local
0.5298087739032621,0.7726658085873539,0.5255886284916057,47,spl_2,,,,local
0.5354330708661418,0.7180245722176466,0.5340163213381033,117,spl_1,0.48717948717948717,0.7027897591588145,0.4757817543803003,local
0.5489313835770528,0.7793299845915913,0.5557896808997613,117,spl_2,,,,local
0.5545556805399325,0.7302190463107193,0.5537383690507369,90,spl_1,0.46153846153846156,0.680164878030801,0.46145706819473514,local
0.5275590551181102,0.7707515543967222,0.5343813434990815,90,spl_2,,,,local
