accuracy,kappa,f1-score,best_epoch,test_dataset,accuracy_TMA20,kappa_TMA20,f1-score_TMA20,mode
0.5826771653543307,0.7867545689137121,0.5913993921778503,778,TMA_14,0.5333333333333333,0.762063227953411,0.5365657917140458,central
0.6023622047244095,0.7800379562581763,0.6043817035657759,758,TMA_14,0.5487179487179488,0.7484379551629223,0.5484499602490607,central
0.5846456692913385,0.7719356384431776,0.5869140692060293,1011,TMA_14,0.5487179487179488,0.7588913903113299,0.5534097025504391,central
0.5892116182572614,0.76162215628091,0.5872532711129274,1432,TMA_15,0.5641025641025641,0.7181650470606207,0.5627429083975213,central
0.58298755186722,0.7716640457926974,0.5802289301734612,1392,TMA_15,0.5282051282051282,0.7401297443273549,0.5266538823813549,central
0.6016597510373444,0.7987970324269966,0.607409083587682,1054,TMA_15,0.5487179487179488,0.7787830386219586,0.5504162897491343,central
0.6579925650557621,0.8151243517793679,0.6566265139651197,898,TMA_16,0.5641025641025641,0.7610173759758248,0.559141875867773,central
0.6505576208178439,0.793050391075779,0.6419478677711457,1012,TMA_16,0.5435897435897435,0.7580878146048002,0.5380432083248745,central
0.6654275092936803,0.7983851403950251,0.6611795271998996,1084,TMA_16,0.5487179487179488,0.7404138649868861,0.5466856129343134,central
0.5866935483870968,0.7887439783809188,0.5901237822192223,1394,TMA_17,0.5230769230769231,0.7431009758315554,0.5167636524122259,central
0.5826612903225806,0.8114663639034227,0.5897360276887131,1335,TMA_17,0.517948717948718,0.7649887928995416,0.5176137093428773,central
0.592741935483871,0.8090925556964318,0.6026422906099506,1085,TMA_17,0.5435897435897435,0.7638298588137665,0.5422555619768272,central
0.6373873873873874,0.7709431770618715,0.6288206581438331,904,TMA_18,0.5230769230769231,0.7633798872904196,0.5289654129400995,central
0.6441441441441441,0.7710991430322327,0.6290457947356868,997,TMA_18,0.517948717948718,0.7187435609789601,0.5083417056957465,central
0.6441441441441441,0.7518236970493817,0.6245077139774632,1107,TMA_18,0.5487179487179488,0.7318395081701989,0.5445936753526887,central
0.589098532494759,0.759065999693373,0.5941372519138488,844,TMA_19,0.5538461538461539,0.7561081043694776,0.5507825968582162,central
0.5911949685534591,0.7617960204794042,0.5979962659010358,772,TMA_19,0.5487179487179488,0.7980414043890033,0.5524091410981362,central
0.589098532494759,0.7594485683987274,0.5998351116439711,1047,TMA_19,0.5435897435897435,0.76864369074917,0.548063191302972,central
0.6003937007874016,0.7610441234927785,0.6033277317564543,1318,TMA_14,0.5641025641025641,0.7442751941894481,0.5670618807136077,federated
0.6082677165354331,0.7544496846822428,0.6073390998496456,1471,TMA_14,0.517948717948718,0.7336065573770492,0.5165570047000307,federated
0.6082677165354331,0.77641340836626,0.6161628262964327,714,TMA_14,0.49230769230769234,0.7484715096336829,0.49921160133943765,federated
0.5726141078838174,0.7707267714190961,0.5701691747548128,994,TMA_15,0.5025641025641026,0.7417072342352542,0.5017812349777937,federated
0.5933609958506224,0.7956214277013874,0.5964404083186541,1066,TMA_15,0.5025641025641026,0.7765835561132631,0.5069542738838158,federated
0.5663900414937759,0.77217121088741,0.5720952435258845,1424,TMA_15,0.5128205128205128,0.7575207912659571,0.5164674048797179,federated
0.6059479553903345,0.7671469003101195,0.6023597434496074,1453,TMA_16,0.5230769230769231,0.7486306995262519,0.5241312675966141,federated
0.6171003717472119,0.7782040518205332,0.6066316289084982,1118,TMA_16,0.5076923076923077,0.7412222497132189,0.5007421289321742,federated
0.6059479553903345,0.761832851037734,0.5864155308510441,1096,TMA_16,0.5692307692307692,0.7223784975372286,0.5616533694665443,federated
0.5967741935483871,0.7776864949979889,0.6006970512120164,1154,TMA_17,0.5230769230769231,0.7150861126770285,0.5261310858438611,federated
0.6008064516129032,0.7820665182531845,0.6023717004440302,1382,TMA_17,0.5025641025641026,0.7241675169279287,0.5091468597963823,federated
0.6088709677419355,0.8120478725613149,0.6165417824837641,817,TMA_17,0.5384615384615384,0.76477952904454,0.5430448671251447,federated
0.6463963963963963,0.7942114813917076,0.6422095211346275,847,TMA_18,0.5641025641025641,0.7506146308419128,0.5599040623678303,federated
0.6509009009009009,0.8227191056099021,0.6536911862776866,1270,TMA_18,0.5692307692307692,0.7795364612775579,0.5722043529914728,federated
0.6351351351351351,0.7802322637602321,0.630647842261918,1436,TMA_18,0.5333333333333333,0.756167887587715,0.5342041009149763,federated
0.5513626834381551,0.7736380258104981,0.5701133970919068,875,TMA_19,0.5333333333333333,0.7887952088686899,0.5403758267139381,federated
0.5744234800838575,0.7961428968442096,0.5910373152436692,621,TMA_19,0.5128205128205128,0.8038431202203907,0.5159315151641626,federated
0.5849056603773585,0.7673930903273231,0.5985237758875939,911,TMA_19,0.5538461538461539,0.7859641901625849,0.5519599077738613,federated
0.3983402489626556,0.6623060480752492,0.3635281500274411,731,TMA_15,0.4205128205128205,0.6760266109538444,0.37785845142196384,TMA_14
0.4684014869888476,0.6799116588959214,0.42968552083401573,731,TMA_16,,,,TMA_14
0.43951612903225806,0.7219507790474853,0.41328652286486073,731,TMA_17,,,,TMA_14
0.4527027027027027,0.656675567423231,0.41316503646787894,731,TMA_18,,,,TMA_14
