accuracy,kappa,f1-score,best_epoch,test_dataset,accuracy_TMA20,kappa_TMA20,f1-score_TMA20
0.6194029850746269,0.8365410680401193,0.6297861488302234,1418,central_0,0.5641025641025641,0.7594024720735012,0.5677410486741115
0.6567164179104478,0.8340372828606815,0.65861176006502,804,federated_0,0.558974358974359,0.7467705556694689,0.5630030421555845
0.417910447761194,0.5744363850225446,0.39650977568298856,1452,local_0,,,
0.3880597014925373,0.5719296780390029,0.3456330164360471,1452,local_0,,,
0.34328358208955223,0.5441822493488319,0.32512042959804155,1452,local_0,,,
0.44776119402985076,0.5101316064340924,0.41131214365755336,1452,local_0,,,
0.44029850746268656,0.5278919553728714,0.3881300405489749,1452,local_0,,,
0.373134328358209,0.6129570038382507,0.3675523293940641,1452,local_0,,,
0.4626865671641791,0.5737947589517904,0.42175823259111983,1452,local_0,,,
0.40298507462686567,0.5684558216350124,0.3606868635441013,1452,local_0,,,
0.44029850746268656,0.5668576104746318,0.3947427235594832,1452,local_0,,,
0.417910447761194,0.5836841050310684,0.3804183339713407,1452,local_0,,,
0.40298507462686567,0.5709918618581402,0.3654061384375332,1452,local_0,,,
0.47761194029850745,0.5739311282646082,0.4571237635758549,1452,local_0,,,
0.3805970149253731,0.4309317557574477,0.34780536569489,1452,local_0,,,
0.40298507462686567,0.5522632707098727,0.3703268789834275,1452,local_0,,,
0.4253731343283582,0.601143618062899,0.410214694311452,1452,local_0,,,
0.43609022556390975,0.6454219778388737,0.40974636119741875,1452,local_0,,,
0.41353383458646614,0.59495742609128,0.3849799636453772,1452,local_0,,,
0.42857142857142855,0.5660779537149817,0.37560116924813064,1452,local_0,,,
0.45864661654135336,0.6248824819805703,0.4205275684780899,1452,local_0,0.39487179487179486,0.534026604811906,0.35134723879979163
0.6567164179104478,0.7976860239661804,0.6482359663042606,587,central_1,0.5487179487179488,0.7624016792935386,0.5430210857585311
0.6194029850746269,0.8025395830067409,0.6039342153997564,845,federated_1,0.5538461538461539,0.7447775269339583,0.5501008484696931
0.291044776119403,0.5477086849279502,0.20536510762751103,892,local_1,,,
0.26865671641791045,0.5008776812090594,0.18397251280255617,892,local_1,,,
0.27611940298507465,0.49046182606109534,0.20490688897044215,892,local_1,,,
0.3208955223880597,0.5109489051094891,0.2468226442769793,892,local_1,,,
0.35074626865671643,0.5302095142125373,0.269320205694218,892,local_1,,,
0.2835820895522388,0.5475088136601114,0.21369094377735384,892,local_1,,,
0.30597014925373134,0.4755827803301004,0.2354453693073096,892,local_1,,,
0.29850746268656714,0.5213049840750624,0.20641888596234514,892,local_1,,,
0.34328358208955223,0.5432914179262458,0.2702229749222615,892,local_1,,,
0.34328358208955223,0.5014008054631414,0.25811943545469906,892,local_1,,,
0.3208955223880597,0.545531626250636,0.23178568227921006,892,local_1,,,
0.291044776119403,0.5264820819822067,0.23599383143766492,892,local_1,,,
0.3208955223880597,0.460841651642408,0.2545685366272088,892,local_1,,,
0.31343283582089554,0.4791926132703458,0.2296088191175894,892,local_1,,,
0.291044776119403,0.5382436260623229,0.22648023149741478,892,local_1,,,
0.2556390977443609,0.4731476069874667,0.19576686274404018,892,local_1,,,
0.3458646616541353,0.5526384763236065,0.2759468277978669,892,local_1,,,
0.3533834586466165,0.5427728613569321,0.25838516180623566,892,local_1,,,
0.3533834586466165,0.4987022366668924,0.260161665475152,892,local_1,0.30256410256410254,0.4845545193624651,0.22720773173450798
0.6268656716417911,0.8127297584687833,0.6258013948892696,626,central_2,0.5076923076923077,0.7509431963319816,0.5023126544120798
0.6119402985074627,0.8406120590913095,0.6215346950998379,1068,federated_2,0.5538461538461539,0.7536978560744557,0.5575124417031346
0.34328358208955223,0.5442176870748299,0.26418402338589536,914,local_2,,,
0.31343283582089554,0.47844137871383474,0.26085789814018007,914,local_2,,,
0.31343283582089554,0.5411346918068826,0.2401895803436487,914,local_2,,,
0.31343283582089554,0.5214495420884273,0.22973177928822242,914,local_2,,,
0.35074626865671643,0.5501047859372995,0.2848589215970581,914,local_2,,,
0.34328358208955223,0.5807330466987357,0.26488597340591025,914,local_2,,,
0.34328358208955223,0.547739333474846,0.27114779211288187,914,local_2,,,
0.3283582089552239,0.5167868689380751,0.25900262292462756,914,local_2,,,
0.373134328358209,0.5573953328757721,0.29850599974252184,914,local_2,,,
0.3880597014925373,0.44206236711552094,0.30923319908394536,914,local_2,,,
0.373134328358209,0.5406072995187599,0.308974495113366,914,local_2,,,
0.39552238805970147,0.5975375963873386,0.33049610183925815,914,local_2,,,
0.3656716417910448,0.46940671592266514,0.28623792576755036,914,local_2,,,
0.3208955223880597,0.5229361757217451,0.25887556448367915,914,local_2,,,
0.373134328358209,0.5882378046178139,0.3056426220971914,914,local_2,,,
0.3383458646616541,0.5325859691267405,0.26339589320422396,914,local_2,,,
0.3233082706766917,0.5794535185467867,0.2725719743263603,914,local_2,,,
0.39849624060150374,0.6006353627224856,0.3132251926111575,914,local_2,,,
0.39097744360902253,0.48873914616497827,0.3007383491952473,914,local_2,0.35384615384615387,0.5601345108582558,0.28065312189535796
0.6119402985074627,0.7712876920159302,0.6069456150550419,906,central_3,0.5333333333333333,0.7213047812353626,0.5260610134096517
0.5895522388059702,0.8069277816984239,0.5979022837553352,904,federated_3,0.5128205128205128,0.7677116677675593,0.5241196053856972
0.39552238805970147,0.5778808905538291,0.34943285502987004,1076,local_3,,,
0.4253731343283582,0.5664329862695483,0.38270542432920196,1076,local_3,,,
0.3880597014925373,0.5718669861689157,0.3252033668621615,1076,local_3,,,
0.40298507462686567,0.5063822496359119,0.3471435045211732,1076,local_3,,,
0.39552238805970147,0.4409310496267018,0.3426443557350887,1076,local_3,,,
0.3880597014925373,0.5720854977433364,0.3415886113374282,1076,local_3,,,
0.4253731343283582,0.5166609412572999,0.3700403579429502,1076,local_3,,,
0.41044776119402987,0.552415210688592,0.3439938981255859,1076,local_3,,,
0.40298507462686567,0.5254714566089256,0.342574478517644,1076,local_3,,,
0.4253731343283582,0.551282591297755,0.36589258284409387,1076,local_3,,,
0.47761194029850745,0.6032148900169205,0.4006031111317762,1076,local_3,,,
0.44776119402985076,0.546043380065624,0.3897254142268011,1076,local_3,,,
0.35074626865671643,0.4298377803386225,0.2884489831544034,1076,local_3,,,
0.3880597014925373,0.5301215315590017,0.32050763859668346,1076,local_3,,,
0.373134328358209,0.5653302192811729,0.3155162343419173,1076,local_3,,,
0.3383458646616541,0.5447116764946223,0.2726995579422916,1076,local_3,,,
0.38345864661654133,0.5626726292253058,0.32713238736200967,1076,local_3,,,
0.42857142857142855,0.5514333895446881,0.3622566711040463,1076,local_3,,,
0.3684210526315789,0.4931922005571031,0.3060497932640298,1076,local_3,0.39487179487179486,0.5071146212303281,0.33618593310901007
0.582089552238806,0.7104044458166101,0.5672063084705753,811,central_4,0.517948717948718,0.7313291246456683,0.5135964062005117
0.5149253731343284,0.7271197280285435,0.5129296187202063,316,federated_4,0.4666666666666667,0.7643467643467643,0.46487930819097906
0.417910447761194,0.5557066950053136,0.3820421880553564,1488,local_4,,,
0.3880597014925373,0.5036410321168499,0.3406597449774422,1488,local_4,,,
0.40298507462686567,0.5444486675957599,0.35605366508679653,1488,local_4,,,
0.4253731343283582,0.44078369355122127,0.368027336000768,1488,local_4,,,
0.3656716417910448,0.4757252172409321,0.318849080740558,1488,local_4,,,
0.41044776119402987,0.504458814082245,0.3671833141982396,1488,local_4,,,
0.3805970149253731,0.5180657768907738,0.34359623489834507,1488,local_4,,,
0.373134328358209,0.47640937774248826,0.3436657681940701,1488,local_4,,,
0.41044776119402987,0.5147216388805556,0.3676843166845983,1488,local_4,,,
0.44776119402985076,0.48754433192325775,0.40189877485955233,1488,local_4,,,
0.41044776119402987,0.5082778631165727,0.36192386440340996,1488,local_4,,,
0.4626865671641791,0.5698765432098766,0.42609443131831193,1488,local_4,,,
0.39552238805970147,0.49953839697859836,0.36800846862864367,1488,local_4,,,
0.4253731343283582,0.5401740877134249,0.38957083740177617,1488,local_4,,,
0.417910447761194,0.5564958733084754,0.38324650191269904,1488,local_4,,,
0.43609022556390975,0.5321120597194218,0.394843894330542,1488,local_4,,,
0.3458646616541353,0.5407717865751699,0.32534814941494866,1488,local_4,,,
0.42105263157894735,0.49973757872638214,0.3647560041213809,1488,local_4,,,
0.47368421052631576,0.5669401217861976,0.4431798512810096,1488,local_4,0.38974358974358975,0.4949193066347878,0.315686421840268
0.5373134328358209,0.729093916559456,0.5363894811656007,1308,central_5,0.5641025641025641,0.7801602185389543,0.5598151831179353
0.6044776119402985,0.7485624356879124,0.6044269133268794,996,federated_5,0.5282051282051282,0.7707904789891272,0.5329019138667118
0.35074626865671643,0.5324433271206277,0.2969339946951887,1021,local_5,,,
0.30597014925373134,0.4960881780851524,0.22944868790187647,1021,local_5,,,
0.27611940298507465,0.5422103313438978,0.22091858877443152,1021,local_5,,,
0.27611940298507465,0.5533152854660794,0.2269668580562708,1021,local_5,,,
0.3283582089552239,0.483572320544288,0.2703329988711903,1021,local_5,,,
0.31343283582089554,0.5847450623915379,0.2691631544500484,1021,local_5,,,
0.291044776119403,0.49496778540447217,0.2372711792459734,1021,local_5,,,
0.291044776119403,0.5011862881452998,0.24347130493826674,1021,local_5,,,
0.30597014925373134,0.5308545923590353,0.27124682332740846,1021,local_5,,,
0.3208955223880597,0.4724409448818897,0.23369187910606745,1021,local_5,,,
0.39552238805970147,0.5715132777095422,0.33928657655369143,1021,local_5,,,
0.35074626865671643,0.5460518211308667,0.28956484132535876,1021,local_5,,,
0.3208955223880597,0.4720252167060679,0.248275429574815,1021,local_5,,,
0.27611940298507465,0.4868521827929537,0.2269542499457938,1021,local_5,,,
0.29850746268656714,0.5692206239953839,0.24885948940645602,1021,local_5,,,
0.2932330827067669,0.5807834980809228,0.24394020792912754,1021,local_5,,,
0.3082706766917293,0.5696357514539332,0.2484422424338586,1021,local_5,,,
0.3458646616541353,0.603988603988604,0.26192477876106196,1021,local_5,,,
0.3383458646616541,0.5139931292531892,0.27235899448962225,1021,local_5,0.3333333333333333,0.5075676300196412,0.27132556687351206
0.5746268656716418,0.8455399893598156,0.583296284534773,1073,central_6,0.5384615384615384,0.7421157351697187,0.5353105436477854
0.5895522388059702,0.8759331057230485,0.597841785034255,1231,federated_6,0.558974358974359,0.7579089719999114,0.5568408218955477
0.41044776119402987,0.6381892587436189,0.34430289688402793,1156,local_6,,,
0.3283582089552239,0.5444486675957599,0.2913246510261436,1156,local_6,,,
0.35074626865671643,0.5787230451111955,0.30006946584677396,1156,local_6,,,
0.3283582089552239,0.5751910258494555,0.27998028733075114,1156,local_6,,,
0.3582089552238806,0.5472590590421489,0.3101955626831249,1156,local_6,,,
0.35074626865671643,0.5631668077900085,0.2886772207231856,1156,local_6,,,
0.34328358208955223,0.5782374100719425,0.2837251107970175,1156,local_6,,,
0.373134328358209,0.5413434012363607,0.3067159244965864,1156,local_6,,,
0.40298507462686567,0.5762868031997319,0.33864441658112265,1156,local_6,,,
0.3805970149253731,0.5357173410899136,0.3082154592065141,1156,local_6,,,
0.41044776119402987,0.598734711092366,0.35248411989705525,1156,local_6,,,
0.41044776119402987,0.6233403771779434,0.37736069616915646,1156,local_6,,,
0.3656716417910448,0.49452705943918707,0.3129733887607365,1156,local_6,,,
0.373134328358209,0.5687536571094207,0.3142720934379307,1156,local_6,,,
0.39552238805970147,0.6197931339799574,0.35090750204537696,1156,local_6,,,
0.3533834586466165,0.5799940255195664,0.2938509063356065,1156,local_6,,,
0.39849624060150374,0.681345009914078,0.35762638920533657,1156,local_6,,,
0.42857142857142855,0.5975,0.3440183439571444,1156,local_6,,,
0.38345864661654133,0.5470922951864139,0.32376923581349737,1156,local_6,0.38974358974358975,0.5946594179724976,0.3149629461378931
0.5895522388059702,0.835216958482169,0.6144310158914482,747,central_7,0.5487179487179488,0.7520813681663454,0.5468728373373432
0.6194029850746269,0.8270599914905687,0.6353654617888763,1181,federated_7,0.5641025641025641,0.745259490914849,0.5665249835442983
0.3880597014925373,0.5175112940018787,0.3052346960847935,1271,local_7,,,
0.3208955223880597,0.48582391814112125,0.28221746939865205,1271,local_7,,,
0.39552238805970147,0.5382999285684272,0.32269257660593664,1271,local_7,,,
0.3582089552238806,0.4866878306878307,0.29300999539507544,1271,local_7,,,
0.3283582089552239,0.5017933689091069,0.2566503942639439,1271,local_7,,,
0.35074626865671643,0.5144523115368596,0.28871367335894066,1271,local_7,,,
0.3358208955223881,0.5710401683915103,0.2616663517853769,1271,local_7,,,
0.3656716417910448,0.4845291854825222,0.28919167888920644,1271,local_7,,,
0.3582089552238806,0.5229066575154426,0.28013777267508605,1271,local_7,,,
0.3805970149253731,0.4723470522803115,0.28698084668233925,1271,local_7,,,
0.3880597014925373,0.55013693789204,0.30708516242317824,1271,local_7,,,
0.373134328358209,0.5495110024449879,0.2994717992815959,1271,local_7,,,
0.35074626865671643,0.4661948635776918,0.2810046951941062,1271,local_7,,,
0.3582089552238806,0.464808733469424,0.27147403580861934,1271,local_7,,,
0.3656716417910448,0.5254577041293599,0.2866980524375369,1271,local_7,,,
0.39849624060150374,0.5794096978215039,0.3221976969714735,1271,local_7,,,
0.3533834586466165,0.5429963842163181,0.2807643975848224,1271,local_7,,,
0.3609022556390977,0.5179098093072473,0.27434658073755813,1271,local_7,,,
0.3684210526315789,0.5212129243136996,0.2941951888445668,1271,local_7,0.3435897435897436,0.5104764745358288,0.2689458651504696
0.5223880597014925,0.7501353383458647,0.5364602905288768,480,central_8,0.5128205128205128,0.7570232412551843,0.5158267233310653
0.5373134328358209,0.7328826486392789,0.5497133524568394,1320,federated_8,0.5230769230769231,0.7332302661580042,0.5247987600961493
0.3656716417910448,0.5414858880887418,0.281289206143197,886,local_8,,,
0.3358208955223881,0.4347017464277614,0.24984309223115195,886,local_8,,,
0.3283582089552239,0.46027530651086623,0.24987630864017507,886,local_8,,,
0.30597014925373134,0.448437638311056,0.22869465752610996,886,local_8,,,
0.3582089552238806,0.4301190795953085,0.2707741575993108,886,local_8,,,
0.3283582089552239,0.34055118110236215,0.23290349859100867,886,local_8,,,
0.3656716417910448,0.5330392589325099,0.2927685030082877,886,local_8,,,
0.35074626865671643,0.43468844470513923,0.25741823935711555,886,local_8,,,
0.3656716417910448,0.47758284600389866,0.285700604235204,886,local_8,,,
0.34328358208955223,0.4416918156839782,0.27210135536613383,886,local_8,,,
