accuracy,kappa,f1-score,best_epoch,test_dataset,accuracy_TMA20,kappa_TMA20,f1-score_TMA20
0.5783582089552238,0.7704514993139875,0.5817813942317065,80,central_0,0.5487179487179488,0.7414260743776746,0.5488029073780712
0.5970149253731343,0.7923467480687765,0.6064454905189564,55,federated_0,0.5333333333333333,0.7826486641769607,0.542578412121625
0.40298507462686567,0.6264706465884967,0.35121644524629597,139,local_0,,,
0.4626865671641791,0.6033993795085555,0.4270104846782619,139,local_0,,,
0.40298507462686567,0.6795934172313649,0.3753887084811157,139,local_0,,,
0.4626865671641791,0.6472919418758256,0.4235744973509059,139,local_0,,,
0.47761194029850745,0.6592038335395433,0.4403379347824277,139,local_0,,,
0.45318352059925093,0.5651646231405987,0.4117008850688027,139,local_0,,,
0.4756554307116105,0.6802741872693135,0.43577031002924516,139,local_0,,,
0.4344569288389513,0.6663530380323723,0.403382816628514,139,local_0,,,
0.5093632958801498,0.7026641158162246,0.4841827045633152,139,local_0,0.39487179487179486,0.6151702319975896,0.3557324937972295
0.5970149253731343,0.7943440577064436,0.5935779391253545,37,central_1,0.5230769230769231,0.7444392292640704,0.517055923742808
0.6119402985074627,0.8203321406970728,0.6201214023490585,71,federated_1,0.5128205128205128,0.7569801742471015,0.5125989392758926
0.44402985074626866,0.6350284878349245,0.4151381806906631,144,local_1,,,
0.47388059701492535,0.5648208469055374,0.4402177129548706,144,local_1,,,
0.39552238805970147,0.6532955618508026,0.37698017900270353,144,local_1,,,
0.48880597014925375,0.6903502422183863,0.44641517184048995,144,local_1,,,
0.40671641791044777,0.6376454067593981,0.38180943355441277,144,local_1,,,
0.4419475655430712,0.6395553683243016,0.41897257519344194,144,local_1,,,
0.42696629213483145,0.6603299908577731,0.39967630711273516,144,local_1,,,
0.4419475655430712,0.6807167251820034,0.4116683462651114,144,local_1,,,
0.4157303370786517,0.6547551976060071,0.4056115906248644,144,local_1,0.4205128205128205,0.6186211326255927,0.3804517415816643
0.6343283582089553,0.7266328554244286,0.6243665338468677,24,central_2,0.5230769230769231,0.7690383244099056,0.5131989318377828
0.6194029850746269,0.7521917808219178,0.6251952444844081,109,federated_2,0.5435897435897435,0.7390732868358417,0.5426031228296089
0.4141791044776119,0.6204303197789183,0.37528552185496733,90,local_2,,,
0.3656716417910448,0.6485136147889083,0.32803847004683356,90,local_2,,,
0.3656716417910448,0.6782161234991424,0.32117131981401714,90,local_2,,,
0.41044776119402987,0.6088208607834629,0.3606169107104381,90,local_2,,,
0.4141791044776119,0.5874877216433252,0.36615134443965563,90,local_2,,,
0.3970037453183521,0.5833329124727914,0.35050785467498796,90,local_2,,,
0.40074906367041196,0.6732664748228951,0.37199036918138034,90,local_2,,,
0.39325842696629215,0.6788755849227488,0.3619051086747254,90,local_2,,,
0.4606741573033708,0.6704688991524526,0.4228569779981598,90,local_2,0.36923076923076925,0.6156878202601498,0.31051994874869654
0.6305970149253731,0.8303320202588632,0.6334553407604626,69,central_3,0.517948717948718,0.6970831605592311,0.5135541195529877
0.5970149253731343,0.8240449506825053,0.6102971441725358,51,federated_3,0.5076923076923077,0.7551208022640286,0.5113542368764885
0.4552238805970149,0.6722930852594227,0.4374838265687674,126,local_3,,,
0.41044776119402987,0.6125725262662693,0.36233063223469314,126,local_3,,,
0.4253731343283582,0.5708577360781932,0.38445529972947234,126,local_3,,,
0.43283582089552236,0.5866310370574134,0.3784559331906354,126,local_3,,,
0.48134328358208955,0.6270955483691427,0.4398766490492156,126,local_3,,,
0.40823970037453183,0.6093948837162697,0.36480633083530883,126,local_3,,,
0.4606741573033708,0.6304913691888787,0.43122519802499626,126,local_3,,,
0.41947565543071164,0.6837618502181171,0.3729092574512118,126,local_3,,,
0.45692883895131087,0.6520532410170705,0.41200898883765763,126,local_3,0.4153846153846154,0.6700879765395895,0.3679260557216714
0.5522388059701493,0.7832169927199736,0.5603578204958097,62,central_4,0.5384615384615384,0.7594757227832343,0.539408686111382
0.5746268656716418,0.8009506833036245,0.5785362284895866,35,federated_4,0.5128205128205128,0.7462657928032188,0.5121764537782468
0.4216417910447761,0.6494204780454962,0.39615958320816025,148,local_4,,,
0.4216417910447761,0.6268154512964793,0.3903893823039788,148,local_4,,,
0.44402985074626866,0.5790534333046854,0.41085284253154475,148,local_4,,,
0.3843283582089552,0.6237105524566364,0.3695156430814148,148,local_4,,,
0.44402985074626866,0.623332791540381,0.413420279942405,148,local_4,,,
0.4756554307116105,0.6297707703048638,0.4392870109570549,148,local_4,,,
0.42696629213483145,0.6497939212921798,0.39095342291570234,148,local_4,,,
0.46441947565543074,0.7039965550098952,0.44786158004401794,148,local_4,,,
0.47191011235955055,0.6629804069329314,0.4471088516341602,148,local_4,0.36923076923076925,0.6077980662864367,0.3397666801855488
0.6044776119402985,0.7890084243170229,0.6051658059787742,50,central_5,0.5128205128205128,0.7560230783370789,0.512724469913776
0.585820895522388,0.7962542070877054,0.5940681027767117,53,federated_5,0.5230769230769231,0.7518637095227857,0.526564636443179
0.458955223880597,0.6454344270181853,0.4333266885395965,121,local_5,,,
0.4626865671641791,0.6998587308078368,0.44775670458209366,121,local_5,,,
0.48134328358208955,0.6292520969245107,0.4566193624307312,121,local_5,,,
0.417910447761194,0.6697200456167458,0.41624381256273973,121,local_5,,,
0.4253731343283582,0.6216704374774227,0.40227127111523475,121,local_5,,,
0.4756554307116105,0.6690996017497539,0.44556043816913904,121,local_5,,,
0.42696629213483145,0.6268931379591998,0.40678346336374765,121,local_5,,,
0.449438202247191,0.6838502859123202,0.42563869998811116,121,local_5,,,
0.5280898876404494,0.6803104760231702,0.521516934597281,121,local_5,0.3487179487179487,0.5985696422580744,0.2997098987635495
0.5655430711610487,0.7315571195174061,0.5631054366660776,86,central_6,0.5794871794871795,0.7507860390418241,0.5732007555119684
0.5318352059925093,0.7485454327786425,0.5395301207486389,65,federated_6,0.5487179487179488,0.759950759130078,0.5498906570722558
0.44776119402985076,0.5997765022603749,0.4067576373081423,112,local_6,,,
0.41044776119402987,0.5655629408297254,0.36229037449042745,112,local_6,,,
0.376865671641791,0.5236672367960105,0.33378341473791007,112,local_6,,,
0.4253731343283582,0.6670440155032811,0.4041018366910094,112,local_6,,,
0.417910447761194,0.5976929762186931,0.3798646596824207,112,local_6,,,
0.4216417910447761,0.6090688226859965,0.3843091268391418,112,local_6,,,
0.42696629213483145,0.6226524010947997,0.4022299616739744,112,local_6,,,
0.3970037453183521,0.6761082893633807,0.35915704514129304,112,local_6,,,
0.4419475655430712,0.6138680648177958,0.38428883931570795,112,local_6,0.38461538461538464,0.5970462211687483,0.3286292829731609
0.6179775280898876,0.7427976932067766,0.6071736222578918,59,central_7,0.5333333333333333,0.7230353106821297,0.5302781651533124
0.6142322097378277,0.7867694567402812,0.6201565499495072,78,federated_7,0.5230769230769231,0.7660064869488766,0.5233256295760816
0.44776119402985076,0.6584201265040186,0.42114567678646714,142,local_7,,,
0.4141791044776119,0.6525443348613233,0.39793350360650914,142,local_7,,,
0.48134328358208955,0.6460664229978702,0.46440250922999604,142,local_7,,,
0.44776119402985076,0.6866661832946636,0.4394783983306886,142,local_7,,,
0.43283582089552236,0.646853211518189,0.41783732353070485,142,local_7,,,
0.4291044776119403,0.6254869492807029,0.39583478348226464,142,local_7,,,
0.4419475655430712,0.6464755191465041,0.42638615979788064,142,local_7,,,
0.49063670411985016,0.688319362044532,0.45967343445045283,142,local_7,,,
0.50187265917603,0.6714650171742942,0.47648301441720764,142,local_7,0.38974358974358975,0.6285821477013651,0.3564656642915655
0.6629213483146067,0.8558015869718749,0.6573395738686674,72,central_8,0.5282051282051282,0.7332172860062061,0.5247838355656768
0.6067415730337079,0.8009075575298166,0.6084121143142954,130,federated_8,0.5025641025641026,0.7347253987584281,0.5078839737460427
0.503731343283582,0.6824185670106073,0.47938172109351357,143,local_8,,,
0.4962686567164179,0.6405853849542362,0.4627366346819926,143,local_8,,,
0.48507462686567165,0.5940893041395696,0.46491337186077225,143,local_8,,,
0.40671641791044777,0.6617197062423501,0.38078790164368653,143,local_8,,,
0.48134328358208955,0.6384520505704594,0.4480803597824605,143,local_8,,,
0.47388059701492535,0.6138969740774747,0.44711384728512205,143,local_8,,,
0.48314606741573035,0.636558094312105,0.4577633888711944,143,local_8,,,
0.4756554307116105,0.6334420808668311,0.45487909098045,143,local_8,,,
0.4943820224719101,0.7000013871485312,0.4778749056938875,143,local_8,0.38461538461538464,0.6034800795944749,0.3366146877253227
0.6629213483146067,0.7789829586304724,0.651029484902334,40,central_9,0.5076923076923077,0.7490942727202652,0.4960279078398774
0.6629213483146067,0.8265836709103127,0.6634912058566307,52,federated_9,0.5538461538461539,0.7630809788526562,0.5553627633799546
0.39925373134328357,0.6218909399449472,0.3612518223492453,122,local_9,,,
0.417910447761194,0.5893106073338804,0.3748612182352977,122,local_9,,,
0.45149253731343286,0.5944264322794656,0.4145361160185172,122,local_9,,,
0.373134328358209,0.6697766623017605,0.35660149478349906,122,local_9,,,
0.4141791044776119,0.6623267534649306,0.38242337808843513,122,local_9,,,
0.45149253731343286,0.6268364070358898,0.4280624669373234,122,local_9,,,
0.41198501872659177,0.6412540432943519,0.3801198071043861,122,local_9,,,
0.42696629213483145,0.6306764114386618,0.4025264643961742,122,local_9,,,
0.43820224719101125,0.7122536098346124,0.41561088855017664,122,local_9,0.4153846153846154,0.6630052724077329,0.37655859322248125
0.6343283582089553,0.8060910993365689,0.6368259812950762,45,central_0,0.5435897435897435,0.7856029319257172,0.53968770036033
0.5783582089552238,0.7994491718290735,0.5864710710031856,104,federated_0,0.5282051282051282,0.7655800825827134,0.531877563416025
0.41044776119402987,0.6467463739709918,0.36068121525685004,122,local_0,,,
0.44029850746268656,0.6050978800703422,0.3990900484655653,122,local_0,,,
0.39925373134328357,0.6440467219291636,0.3757074181290437,122,local_0,,,
0.44776119402985076,0.6745613374501092,0.41112915446356596,122,local_0,,,
0.4216417910447761,0.6199957763900202,0.355470108249959,122,local_0,,,
0.4307116104868914,0.6376108268562278,0.39557549954227733,122,local_0,,,
0.40823970037453183,0.6556649455186074,0.3847803433182854,122,local_0,,,
0.44569288389513106,0.6879341709632115,0.40598853869647417,122,local_0,,,
0.43820224719101125,0.6804293497515248,0.39698540136487925,122,local_0,0.4,0.6218302901679533,0.36456837424726524
0.5559701492537313,0.8184296487478324,0.5609174438773812,21,central_1,0.48205128205128206,0.7450826832133498,0.4789912789532653
0.585820895522388,0.8006467626631588,0.5956730388493603,104,federated_1,0.5435897435897435,0.746194728659749,0.539452016916219
0.503731343283582,0.6415608251247156,0.4769266053800827,133,local_1,,,
0.47388059701492535,0.6258379153717428,0.4545539664837398,133,local_1,,,
0.4216417910447761,0.6568924041405453,0.41435547393635697,133,local_1,,,
0.48880597014925375,0.7193385058099298,0.46723489012987246,133,local_1,,,
0.47761194029850745,0.6805567571204737,0.44697678982486283,133,local_1,,,
0.4344569288389513,0.66074336216552,0.42041858283531464,133,local_1,,,
0.47191011235955055,0.6364166909833673,0.45025051222315843,133,local_1,,,
0.4943820224719101,0.68685057382134,0.4671162834578279,133,local_1,,,
0.45318352059925093,0.6533837557148503,0.41957013731240667,133,local_1,0.46153846153846156,0.6556389478331458,0.4216037798407224
0.6007462686567164,0.7798073261209925,0.6151535386975324,49,central_2,0.5128205128205128,0.7747021554434217,0.5228074924092622
