accuracy,kappa,f1-score,best_epoch,test_dataset,accuracy_TMA20,kappa_TMA20,f1-score_TMA20
0.5908071748878924,0.7763644207444288,0.5924685454962403,75,central_0,0.48205128205128206,0.7623595308124069,0.487536420575598
0.6076233183856502,0.77549991715042,0.6061999292468484,91,federated_0,0.5128205128205128,0.7483726021084164,0.5003631229938164
0.5504484304932735,0.7439871419551116,0.5553957370010395,139,local_0,,,
0.5717488789237668,0.7400068825982995,0.57073281320089,139,local_0,0.48717948717948717,0.7017804434430718,0.483322715021434
0.5728699551569507,0.7776416343922885,0.5750779581937611,82,central_1,0.48717948717948717,0.6979371316306483,0.48372617547258695
0.5594170403587444,0.7968711143895767,0.5704997185909704,49,federated_1,0.517948717948718,0.7683696351278531,0.5214175034088308
0.5739910313901345,0.7544022809872857,0.572019575467812,65,local_1,,,
0.5739910313901345,0.7689467124643696,0.5736935055768493,65,local_1,0.5128205128205128,0.7321227864225591,0.504878999099546
0.6177130044843049,0.7799342105263158,0.6100203939779639,37,central_2,0.5025641025641026,0.7254569460174831,0.48044408295477714
0.600896860986547,0.7835338103303262,0.6003494886236336,68,federated_2,0.5538461538461539,0.7694517681275936,0.555191153444087
0.5504484304932735,0.7206724762371697,0.5428476920057189,86,local_2,,,
0.5571748878923767,0.7404973174394476,0.5533283584866341,86,local_2,0.48205128205128206,0.6753987465596711,0.4675857887305067
0.5818385650224215,0.8007225136729456,0.5932097562303587,56,central_0,0.5025641025641026,0.7954337796527957,0.5054136950105388
0.6065022421524664,0.7838305101683906,0.6093931769237858,60,federated_0,0.49743589743589745,0.7562687707700236,0.4969851571092266
0.5381165919282511,0.7505311894991903,0.5401328729635877,83,local_0,,,
0.5594170403587444,0.7513277449750666,0.5580962256120159,83,local_0,0.4717948717948718,0.7009636562139102,0.4663045509765442
0.554932735426009,0.7477734971287344,0.5544041134336417,115,central_1,0.5025641025641026,0.7369106229880704,0.49398389616171384
0.57847533632287,0.7848921854685543,0.5823099439710232,42,federated_1,0.4717948717948718,0.7204203957631989,0.4628892434907858
0.5571748878923767,0.7440747503751922,0.5510875486225212,78,local_1,,,
0.5863228699551569,0.7621740717251613,0.5854569118909093,78,local_1,0.517948717948718,0.7258702970663313,0.5097166501880701
0.6356502242152466,0.7965022319065107,0.6312150419788091,38,central_2,0.5025641025641026,0.7695455587763189,0.48440562077119803
0.6076233183856502,0.7948846723566341,0.6107741358755897,62,federated_2,0.5538461538461539,0.7637112046131269,0.5457276813623672
0.5269058295964125,0.7440153613831231,0.5296109638804574,78,local_2,,,
0.5381165919282511,0.7672329505583074,0.5477266417029357,78,local_2,0.49230769230769234,0.7251417574708279,0.49355052355460227
