accuracy,kappa,f1-score,best_epoch,test_dataset,accuracy_TMA20,kappa_TMA20,f1-score_TMA20
0.625,0.7975029865426576,0.6347085922055381,990,central_0,0.5487179487179488,0.7584818861414606,0.551568669994577
0.5895522388059702,0.7831009788209966,0.583636319304587,1437,federated_0,0.5692307692307692,0.7218672265455623,0.5644555173458465
0.5383177570093458,0.7478599059505562,0.5388299663663768,1329,local_0,,,
0.5214953271028038,0.7607576780290246,0.5194749527111391,1329,local_0,,,
0.5233644859813084,0.7351426439185145,0.519644857581274,1329,local_0,,,
0.5570093457943925,0.740621608518394,0.5500250305245474,1329,local_0,0.5076923076923077,0.725966145001597,0.496660675918913
0.5700934579439252,0.783099966214948,0.5762044554053065,1471,central_1,0.558974358974359,0.7310283506036046,0.5535374813011237
0.577570093457944,0.7942867507028203,0.5880689479523921,913,federated_1,0.5282051282051282,0.7836257978905946,0.5286570468712296
0.5578358208955224,0.7580588594413679,0.5497348624121738,1420,local_1,,,
0.5271028037383177,0.7167564739733194,0.5282146673956009,1420,local_1,,,
0.5719626168224299,0.7256612085230125,0.5621867326840925,1420,local_1,,,
0.5345794392523364,0.7477610309008811,0.5248992756246599,1420,local_1,0.48717948717948717,0.6846701164294955,0.47481145836202293
0.5644859813084112,0.7648027126395994,0.5696309454249746,1302,central_2,0.5641025641025641,0.6889916848766922,0.5610273251652561
0.5700934579439252,0.7568877052017033,0.5675227567788665,1123,federated_2,0.5384615384615384,0.7363130497217735,0.5318806909074288
0.498134328358209,0.7518160114865382,0.5007875391532508,1252,local_2,,,
0.5177570093457944,0.7349751527750867,0.5231724992190296,1252,local_2,,,
0.5308411214953271,0.732606228762368,0.526179642585902,1252,local_2,,,
0.5177570093457944,0.728835347265582,0.5177956150453306,1252,local_2,0.4564102564102564,0.737266227863769,0.4421309380172949
0.6,0.782175097212895,0.5982270648450356,1350,central_3,0.5692307692307692,0.7479667454946692,0.5687793228261087
0.6,0.7858926956366891,0.5989187849971668,1047,federated_3,0.5487179487179488,0.7728241411644361,0.5527152613888354
0.5447761194029851,0.7711081299525885,0.5483941521540202,974,local_3,,,
0.5345794392523364,0.7621174710830166,0.5420647968479055,974,local_3,,,
0.4822429906542056,0.7232104283451296,0.483517290393455,974,local_3,,,
0.5383177570093458,0.7641583977243427,0.5387160125785111,974,local_3,0.47692307692307695,0.7716801995571054,0.46957855788221115
0.6280373831775701,0.8403349711538635,0.6324558836643903,1089,central_4,0.5487179487179488,0.7825359652057544,0.5523658156429673
0.611214953271028,0.8230054199568596,0.6203255901954627,565,federated_4,0.5230769230769231,0.7782978305910326,0.5265701654659617
0.5111940298507462,0.7121977737971108,0.5037711502386609,947,local_4,,,
0.4897196261682243,0.720567555851598,0.49860273550839723,947,local_4,,,
0.5233644859813084,0.7169405385231775,0.5187638139836412,947,local_4,,,
0.525233644859813,0.7186816911691213,0.525430394679905,947,local_4,0.4717948717948718,0.7053957793561707,0.44830635348628156
0.6305970149253731,0.8222911821832841,0.6358237415560187,856,central_0,0.558974358974359,0.7691297687650449,0.5550021115610773
0.6455223880597015,0.815852124262073,0.6491566363330191,1001,federated_0,0.5333333333333333,0.7571882622514599,0.5405386139715532
0.508411214953271,0.7437044259793115,0.5102186609906967,1050,local_0,,,
0.5196261682242991,0.7250767812430106,0.5150839447056509,1050,local_0,,,
0.4934579439252336,0.708335123026244,0.49192601623703125,1050,local_0,,,
0.5196261682242991,0.7153940188774701,0.5144151230707664,1050,local_0,0.4717948717948718,0.7259502987271625,0.462081737719659
0.5981308411214953,0.7934606287438716,0.6034639205566222,1381,central_1,0.5538461538461539,0.762629996275895,0.5512207271956825
0.594392523364486,0.7947686208806551,0.6041716404180201,1103,federated_1,0.5897435897435898,0.7620149344377027,0.586263344721161
0.542910447761194,0.7687759573010329,0.5421917460938376,1398,local_1,,,
0.497196261682243,0.7192844187251685,0.49981581063796293,1398,local_1,,,
0.5420560747663551,0.7409156751936545,0.5420889242336522,1398,local_1,,,
0.525233644859813,0.761523805065804,0.5255501572404175,1398,local_1,0.4564102564102564,0.7281291213967217,0.45351511896778135
0.5813084112149532,0.7450863609291245,0.5880853064890099,1370,central_2,0.5282051282051282,0.7236397781419681,0.527054751149044
0.5719626168224299,0.7744167003924742,0.5835968645392672,1129,federated_2,0.5076923076923077,0.7374049429657794,0.5150505173584533
0.5261194029850746,0.7694829432957903,0.5344138313031689,1464,local_2,,,
0.5214953271028038,0.7407791407894061,0.5293860575852483,1464,local_2,,,
0.5345794392523364,0.7236753675616474,0.529517930871539,1464,local_2,,,
0.5420560747663551,0.7612463249223115,0.5434797426009232,1464,local_2,0.517948717948718,0.7576400058488084,0.5158538823803173
0.6149532710280374,0.7855766868786119,0.6172855825496659,1405,central_3,0.5076923076923077,0.7523139455256357,0.5123487283988913
0.6261682242990654,0.7952958484769597,0.6314339950885992,1220,federated_3,0.5435897435897435,0.7895253540454198,0.5472876561357046
0.5410447761194029,0.7592672250196097,0.5445189929546044,1014,local_3,,,
0.5121495327102804,0.7333900628270651,0.5237773787640946,1014,local_3,,,
0.4822429906542056,0.71530254669284,0.48168673054758093,1014,local_3,,,
0.5289719626168224,0.7648282897257835,0.5288507666831643,1014,local_3,0.46153846153846156,0.695525898129526,0.45245598863487785
0.6242990654205608,0.8221670878265213,0.6209231947650936,1356,central_4,0.5897435897435898,0.74759992729556,0.5889608813567204
0.611214953271028,0.8219903928066474,0.616537167481684,1225,federated_4,0.5538461538461539,0.7811798653414557,0.5614828464502427
0.5242537313432836,0.7321847402442566,0.5209840257021848,1288,local_4,,,
0.5065420560747663,0.7256096927916611,0.5083886978460879,1288,local_4,,,
0.502803738317757,0.716854468749661,0.5039505563930966,1288,local_4,,,
